Main_Topic,Unit,Topic_Title,Sub_Topic
MACHINE LEARNING,Module 19: Computer Vision,19.1 Core Vision Tasks,"Image classification: CNN-based, ViT, data augmentation, fine-tuning"
MACHINE LEARNING,Module 19: Computer Vision,19.1 Core Vision Tasks,"Object detection: R-CNN family, YOLO, SSD, RetinaNet, anchor-free methods"
MACHINE LEARNING,Module 19: Computer Vision,19.1 Core Vision Tasks,"Segmentation: FCN, U-Net, DeepLab, Mask R-CNN, SAM"
MACHINE LEARNING,Module 19: Computer Vision,19.1 Core Vision Tasks,"Image generation, super-resolution, OCR, video understanding, 3D vision"
MACHINE LEARNING,Module 20: Recommender Systems,20.1 Recommendation Approaches,"Collaborative filtering: user-based, item-based, cold start problem"
MACHINE LEARNING,Module 20: Recommender Systems,20.1 Recommendation Approaches,"Content-based filtering, hybrid methods, context-aware recommendations"
MACHINE LEARNING,Module 20: Recommender Systems,20.1 Recommendation Approaches,"Matrix factorization: SVD, NMF, ALS, factorization machines"
MACHINE LEARNING,Module 20: Recommender Systems,20.1 Recommendation Approaches,"Deep learning: NCF, autoencoders, GRU4Rec, SASRec, LightGCN"
MACHINE LEARNING,Module 20: Recommender Systems,20.1 Recommendation Approaches,"Evaluation: Hit Rate, NDCG, MAP, coverage, diversity"
MACHINE LEARNING,Module 21: Time Series & Sequential ML,21.1 Time Series Methods,"ARIMA, SARIMA, Exponential Smoothing (Holt-Winters), Prophet"
MACHINE LEARNING,Module 21: Time Series & Sequential ML,21.1 Time Series Methods,"Feature engineering for time series: lags, rolling statistics"
MACHINE LEARNING,Module 21: Time Series & Sequential ML,21.1 Time Series Methods,"LSTM/GRU, Temporal Convolutional Networks (TCN)"
MACHINE LEARNING,Module 21: Time Series & Sequential ML,21.1 Time Series Methods,"Transformers for time series: Informer, Autoformer, PatchTST"
MACHINE LEARNING,Module 21: Time Series & Sequential ML,21.1 Time Series Methods,"Anomaly detection: statistical methods, Isolation Forest, autoencoders, change point detection"
MACHINE LEARNING,Module 22: Graph Neural Networks,22.1 GNN Fundamentals & Applications,"Graph representations: adjacency matrix, edge list, node/edge features"
MACHINE LEARNING,Module 22: Graph Neural Networks,22.1 GNN Fundamentals & Applications,"GCN, GraphSAGE, GAT, MPNN framework, GIN"
MACHINE LEARNING,Module 22: Graph Neural Networks,22.1 GNN Fundamentals & Applications,"Node classification, link prediction, graph classification"
MACHINE LEARNING,Module 22: Graph Neural Networks,22.1 GNN Fundamentals & Applications,"Applications: drug discovery, traffic prediction, fraud detection, social networks"
MACHINE LEARNING,Module 23: AutoML & Neural Architecture Search,23.1 AutoML & NAS,"Automated feature engineering (Featuretools, tsfresh)"
MACHINE LEARNING,Module 23: AutoML & Neural Architecture Search,23.1 AutoML & NAS,"AutoML frameworks: Auto-sklearn, TPOT, H2O AutoML, AutoGluon, FLAML"
MACHINE LEARNING,Module 23: AutoML & Neural Architecture Search,23.1 AutoML & NAS,"NAS: RL-based, evolutionary, differentiable (DARTS)"
MACHINE LEARNING,Module 23: AutoML & Neural Architecture Search,23.1 AutoML & NAS,"Weight sharing, one-shot NAS, hardware-aware NAS"
MACHINE LEARNING,Module 24: Explainability & Interpretability,24.1 Explanation Methods,"SHAP (Shapley values), LIME, PDP/ICE plots, permutation importance"
MACHINE LEARNING,Module 24: Explainability & Interpretability,24.1 Explanation Methods,Counterfactual explanations and contrastive reasoning
MACHINE LEARNING,Module 24: Explainability & Interpretability,24.1 Explanation Methods,"Attention visualization, Grad-CAM, saliency maps, Integrated Gradients"
MACHINE LEARNING,Module 24: Explainability & Interpretability,24.1 Explanation Methods,TCAV (concept-based explanations)
MACHINE LEARNING,Module 24: Explainability & Interpretability,24.1 Explanation Methods,"Global vs. local explanations, faithfulness, regulatory requirements (GDPR)"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","Data bias: sampling, historical, measurement, representation"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","Fairness definitions: demographic parity, equalized odds, calibration"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","Mitigation: pre-processing, in-processing (adversarial debiasing), post-processing"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","Fairness toolkits: AIF360, Fairlearn, What-If Tool"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","Privacy: differential privacy, federated learning"
MACHINE LEARNING,"Module 25: Fairness, Bias & Ethics in ML","25.1 Bias, Fairness & Responsible AI","AI regulations: EU AI Act, GDPR, responsible AI frameworks"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,Batch vs. real-time prediction architectures
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,Feature stores: offline and online features
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"Data pipelines: batch (ETL) and streaming (Kafka, Flink)"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"Model serving patterns: synchronous, asynchronous, edge"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"A/B testing, canary deployments"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"Distributed training: data parallelism, model parallelism, DeepSpeed, FSDP"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"Model compression: pruning, quantization, knowledge distillation"
MACHINE LEARNING,Module 26: ML System Design & Scalability,26.1 System Architecture & Scaling,"Edge deployment: ONNX, TensorRT, TFLite, Core ML"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","ML pipelines: Airflow, Kubeflow Pipelines, Prefect"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","Experiment tracking: MLflow, Weights & Biases, Neptune"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","Model versioning/registry, data versioning (DVC, LakeFS)"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment",Containerization with Docker
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","Model serving: TorchServe, TF Serving, Seldon, BentoML"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","CI/CD for ML, monitoring: data drift, concept drift, model performance"
MACHINE LEARNING,Module 27: MLOps & Production ML,"27.1 Pipelines, Tracking & Deployment","Alerting, retraining triggers, and feedback loops"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Contrastive learning: SimCLR, MoCo, BYOL, DINO"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Masked modeling: MAE, BEiT"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Few-shot learning: Siamese networks, Prototypical networks"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Meta-learning: MAML, Reptile; Zero-shot learning"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Prompt tuning, adapters, in-context learning in LLMs"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Federated learning, foundation models, Mixture of Experts (MoE)"
MACHINE LEARNING,Module 28: Advanced Topics & Frontiers,"28.1 Self-Supervised, Few-Shot & Emerging Paradigms","Neural scaling laws, AI safety and alignment research"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Healthcare: medical imaging, drug discovery, clinical NLP, genomics, wearables"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Finance: fraud detection, credit scoring, algorithmic trading, demand forecasting"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Autonomous vehicles: perception, planning, control"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Robotics: manipulation, navigation, sim-to-real transfer"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Climate science: weather forecasting, carbon tracking"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Manufacturing: predictive maintenance, quality control"
MACHINE LEARNING,Module 29: Domain-Specific ML Applications,"29.1 Healthcare, Finance & Other Domains","Cybersecurity: intrusion detection, malware classification"
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,"Problem scoping, dataset selection, EDA, modeling, evaluation"
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,Model deployment and API creation
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,"Documentation, reproducibility, project presentation"
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,Kaggle competitions and ranking strategies
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,Research paper reading and implementation
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,GitHub portfolio building
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,"ML interview preparation: coding, system design, ML concepts"
MACHINE LEARNING,Module 30: Capstone Projects & Portfolio,30.1 End-to-End Projects & Career Prep,Contributing to open-source ML projects
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"Python 3.x setup, virtual environments (venv, conda, poetry)"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"Data types: int, float, str, bool, bytes, None"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"Data structures: lists, tuples, sets, dictionaries, deque, defaultdict"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"Control flow: if/elif/else, for, while, match-case (3.10+)"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"Functions: args, kwargs, lambda, closures, decorators"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,List/dict/set comprehensions and generator expressions
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.1 Python Fundamentals,"String formatting: f-strings, format(), template strings"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,"Classes, objects, __init__, self, __repr__, __str__"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,"Inheritance: single, multiple, MRO (Method Resolution Order)"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,"Encapsulation: name mangling, properties, getters/setters"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,"Polymorphism: duck typing, abstract base classes (ABC)"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,"Magic/dunder methods: __add__, __eq__, __hash__, __len__, __iter__"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,Dataclasses and attrs for cleaner data models
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.2 Object-Oriented Programming,Protocols and structural subtyping (Python 3.8+)
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Iterators and generators: yield, send, throw, close"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Context managers: with statement, __enter__/__exit__, contextlib"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Type hints and annotations: typing module, Optional, Union, Literal, TypedDict"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,Metaclasses and class decorators
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Descriptors: __get__, __set__, __delete__"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Concurrency: threading, multiprocessing, asyncio, GIL implications"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"async/await pattern: event loop, coroutines, aiohttp, asyncpg"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Memory management: reference counting, garbage collection, weakref"
PYTHON FOR BACKEND DEVELOPMENT,Module 31: Python Core & Advanced Concepts,31.3 Advanced Python,"Profiling and optimization: cProfile, line_profiler, memory_profiler"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"Project structure: settings, urls, wsgi/asgi, apps"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"Models: ORM, fields, relationships (ForeignKey, ManyToMany, OneToOne)"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"Migrations: makemigrations, migrate, squash, custom migrations"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,Views: function-based views (FBVs) and class-based views (CBVs)
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"Templates: DTL syntax, template inheritance, context processors"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"URL routing: path(), include(), named URLs, URL namespaces"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.1 Django Fundamentals,"Admin interface: ModelAdmin, customization, inline models"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Django REST Framework (DRF): serializers, viewsets, routers"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Authentication: session, token, JWT (djangorestframework-simplejwt)"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Permissions: IsAuthenticated, IsAdminUser, custom permissions"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Pagination, filtering (django-filter), throttling"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Signals: pre_save, post_save, pre_delete, custom signals"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Middleware: request/response processing, custom middleware"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Caching: Redis, Memcached, per-view and per-site caching"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Celery integration: async tasks, periodic tasks, result backends"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Django Channels: WebSocket support, real-time features"
PYTHON FOR BACKEND DEVELOPMENT,Module 32: Web Frameworks – Django,32.2 Django Advanced,"Testing: TestCase, APITestCase, fixtures, factory_boy"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Project setup, uvicorn ASGI server"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Path operations: GET, POST, PUT, DELETE, PATCH"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Path parameters, query parameters, request body (Pydantic models)"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Pydantic V2: BaseModel, Field, validators, model_config"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Response models, status codes, custom responses"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,"Dependency injection system: Depends(), sub-dependencies"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.1 FastAPI Core,Automatic OpenAPI/Swagger documentation
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Authentication: OAuth2 with JWT, API keys, cookie-based auth"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,Background tasks and async endpoints
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,WebSocket support for real-time communication
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"File uploads: UploadFile, streaming large files"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Middleware: CORS, GZip, Trusted Hosts, custom middleware"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Error handling: HTTPException, custom exception handlers"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Database integration: SQLAlchemy (async), Tortoise ORM, SQLModel"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,Alembic migrations for database schema management
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Testing: TestClient (httpx), pytest fixtures, dependency overrides"
PYTHON FOR BACKEND DEVELOPMENT,Module 33: Web Frameworks – FastAPI,33.2 FastAPI Advanced,"Structuring large applications: routers, sub-applications"
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,Application factory pattern
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,Blueprints for modular application structure
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,"Routing, request/response objects, error handlers"
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,Jinja2 templating engine
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,"Flask extensions: Flask-SQLAlchemy, Flask-Migrate, Flask-Login, Flask-CORS"
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,Flask-RESTful and Flask-Smorest for API development
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.1 Flask Framework,Flask-SocketIO for real-time features
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.2 Other Python Web Tools,Litestar (formerly Starlite): modern ASGI framework
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.2 Other Python Web Tools,Sanic: async-first framework for speed
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.2 Other Python Web Tools,"gRPC with Python: protobuf, service definitions, streaming"
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.2 Other Python Web Tools,"GraphQL with Python: Strawberry, Ariadne"
PYTHON FOR BACKEND DEVELOPMENT,Module 34: Flask & Lightweight Frameworks,34.2 Other Python Web Tools,"CLI tools: Click, Typer for backend utilities"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"PostgreSQL: advanced features (JSONB, full-text search, CTEs, window functions)"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"MySQL/MariaDB: InnoDB, indexing strategies"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"SQLAlchemy ORM: models, relationships, eager/lazy loading, hybrid properties"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"SQLAlchemy Core: raw SQL, connection pooling, engine configuration"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,SQLModel: combining SQLAlchemy + Pydantic
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"Database design: normalization (1NF-3NF), denormalization for performance"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.1 Relational Databases,"Query optimization: EXPLAIN ANALYZE, indexing (B-tree, GIN, GiST), partitioning"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.2 NoSQL Databases,"MongoDB: PyMongo, Motor (async), document modeling"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.2 NoSQL Databases,"Redis: caching, pub/sub, rate limiting, session storage, Lua scripting"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.2 NoSQL Databases,"Elasticsearch: full-text search, aggregations, Python client"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.2 NoSQL Databases,Cassandra/ScyllaDB: wide-column stores for high-throughput
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.2 NoSQL Databases,"Neo4j: graph database, Cypher queries, py2neo"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,Repository pattern: abstracting data access
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,Unit of Work pattern
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,"Database migrations: Alembic, Django migrations"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,"Connection pooling: SQLAlchemy pool, PgBouncer"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,"Read replicas, sharding strategies"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,"ACID properties, transaction isolation levels"
PYTHON FOR BACKEND DEVELOPMENT,Module 35: Database Integration,35.3 Database Patterns,Event sourcing and CQRS patterns
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,"REST principles: statelessness, resource-based URLs, HTTP methods"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,"API versioning: URL path, header, query parameter strategies"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,"Request/response formats: JSON, pagination (cursor-based, offset-based)"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,HATEOAS and hypermedia-driven APIs
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,Rate limiting and throttling implementation
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,"API documentation: OpenAPI/Swagger, Redoc"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.1 RESTful API Design,"Error handling: RFC 7807 Problem Details, consistent error responses"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"GraphQL APIs: schema design, resolvers, mutations, subscriptions"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"gRPC: service definitions, streaming (unary, server, client, bidirectional)"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"WebSocket APIs: connection management, heartbeats, reconnection"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"Event-driven APIs: webhooks, Server-Sent Events (SSE)"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"API gateways: Kong, AWS API Gateway, rate limiting, transformation"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"OAuth 2.0 flows: Authorization Code, Client Credentials, PKCE"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,"JWT: access tokens, refresh tokens, token rotation"
PYTHON FOR BACKEND DEVELOPMENT,Module 36: API Design & Architecture,36.2 Advanced API Patterns,API key management and secret rotation
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,"Session-based authentication: cookies, server-side sessions"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,"Token-based authentication: JWT, opaque tokens"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,OAuth 2.0 and OpenID Connect (OIDC)
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,"Social authentication: Google, GitHub, Microsoft integration"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,Role-Based Access Control (RBAC) and Attribute-Based Access Control (ABAC)
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,Multi-factor authentication (MFA/2FA) implementation
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.1 Authentication & Authorization,API key authentication and service-to-service auth
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,"OWASP Top 10: SQL injection, XSS, CSRF, SSRF prevention"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,Input validation and sanitization
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,"Password hashing: bcrypt, argon2, scrypt"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,"HTTPS/TLS configuration, HSTS headers"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,Content Security Policy (CSP) and security headers
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,Rate limiting and DDoS protection
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,"Secret management: environment variables, Vault, AWS Secrets Manager"
PYTHON FOR BACKEND DEVELOPMENT,"Module 37: Authentication, Security & Middleware",37.2 Security Best Practices,"Dependency scanning: Safety, Bandit, Snyk"
